Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,SP,Justin Steele*,27,14,3,0.824,2.8,23,23,0,0,0,0,132,126,52,41,10,28,0,127,7,1,8,547,163,3.12,1.167,8.6,0.7,1.9,8.7,4.54
2,SP,Marcus Stroman (15-day IL),32,10,8,0.556,3.85,23,23,0,1,1,0,128.2,109,60,55,8,50,0,111,3,0,2,537,119,3.59,1.236,7.6,0.6,3.5,7.8,2.22
3,SP,Drew Smyly*,34,9,9,0.5,5.28,27,22,2,0,0,0,124.1,133,79,73,25,43,0,116,6,1,4,547,86,5.2,1.416,9.6,1.8,3.1,8.4,2.7
4,SP,Jameson Taillon,31,7,8,0.467,5.6,23,23,0,0,0,0,115.2,123,79,72,19,33,0,100,4,0,1,496,82,4.63,1.349,9.6,1.5,2.6,7.8,3.03
5,SP,Kyle Hendricks,33,5,6,0.455,3.83,17,17,0,0,0,0,98.2,95,49,42,11,17,0,64,3,0,0,408,119,4.03,1.135,8.7,1,1.6,5.8,3.76
6,CL,Adbert Alzolay,28,1,4,0.2,2.7,50,0,32,0,0,19,56.2,47,20,17,4,9,0,61,4,2,0,222,170,2.72,0.988,7.5,0.6,1.4,9.7,6.78
7,RP,Julian Merryweather,31,5,1,0.833,3.49,55,0,12,0,0,0,56.2,51,23,22,6,26,0,78,0,0,2,244,131,3.27,1.359,8.1,1,4.1,12.4,3
8,RP,Michael Fulmer,30,3,5,0.375,4.55,56,1,13,0,0,1,55.1,48,29,28,7,26,0,62,1,0,5,230,101,4.13,1.337,7.8,1.1,4.2,10.1,2.38
9,RP,Mark Leiter Jr.,32,1,2,0.333,2.82,56,0,12,0,0,4,54.1,34,19,17,5,17,0,70,7,1,2,220,163,3.21,0.939,5.6,0.8,2.8,11.6,4.12
10,RP,Michael Rucker,29,2,1,0.667,4.91,35,0,12,0,0,0,40.1,39,22,22,6,19,0,40,3,0,1,176,94,4.85,1.438,8.7,1.3,4.2,8.9,2.11
11,,Hayden Wesneski,25,2,4,0.333,4.46,22,11,1,0,0,0,72.2,66,40,36,17,22,1,64,3,0,2,307,103,5.58,1.211,8.2,2.1,2.7,7.9,2.91
12,,Javier Assad,25,2,2,0.5,3.13,23,5,9,0,0,0,72,60,26,25,9,30,1,53,0,1,1,295,146,4.67,1.25,7.5,1.1,3.8,6.6,1.77
13,,Keegan Thompson (40-man),28,2,2,0.5,4.22,15,0,3,0,0,0,21.1,14,10,10,1,14,0,16,0,0,2,91,110,4.35,1.313,5.9,0.4,5.9,6.8,1.14
14,,Brad Boxberger (60-day IL),35,0,1,0,5.52,17,0,4,0,0,2,14.2,13,9,9,3,9,1,13,1,0,0,65,84,6.2,1.5,8,1.8,5.5,8,1.44
15,,Brandon Hughes* (60-day IL),27,0,3,0,7.24,17,0,2,0,0,0,13.2,14,11,11,2,8,1,17,1,0,0,63,64,4.66,1.61,9.2,1.3,5.3,11.2,2.13
16,,Daniel Palencia,23,3,0,1,4.61,14,0,4,0,0,0,13.2,9,7,7,2,8,0,13,0,0,3,55,101,5.02,1.244,5.9,1.3,5.3,8.6,1.63
17,,Anthony Kay* (40-man),28,0,0,,6.35,13,0,4,0,0,0,11.1,12,8,8,1,8,0,8,1,0,1,54,74,5.38,1.765,9.5,0.8,6.4,6.4,1
18,,Jeremiah Estrada (40-man),24,0,0,,6.75,12,0,5,0,0,0,10.2,12,8,8,4,12,1,13,0,0,0,56,70,9.08,2.25,10.1,3.4,10.1,11,1.08
19,,Jose Cuas,29,0,0,,1.04,9,0,2,0,0,0,8.2,5,1,1,0,10,0,6,2,0,2,39,456,6.04,1.731,5.2,0,10.4,6.2,0.6
20,,Caleb Kilian (40-man),26,0,1,0,16.88,3,1,1,0,0,0,5.1,13,10,10,0,2,0,5,4,0,2,33,29,4.77,2.813,21.9,0,3.4,8.4,2.5
21,,Tucker Barnhart,32,0,0,,2.25,4,0,4,0,0,0,4,7,1,1,0,0,0,0,0,0,0,19,219,3.27,1.75,15.8,0,0,0,
22,,Nick Burdi (60-day IL),30,0,0,,9,3,0,2,0,0,0,3,3,3,3,0,3,0,4,0,0,1,15,56,3.6,2,9,0,9,12,1.33
23,,Miles Mastrobuoni,27,0,0,,108,1,0,1,0,0,0,0.1,4,4,4,1,0,0,0,0,0,0,5,8,42.27,12,108,27,0,0,